Linea,Mes,Valores
L.1,Enero,6012770
L.1,Febrero,6574290
L.1,Marzo,7745085
L.1,Abril,7026520
L.1,Mayo,7482968
L.1,Junio,7272755
L.1,Julio,6370110
L.1,Agosto,5078538
L.1,Septiembre,7551035
L.1,Octubre,8342361
L.1,Noviembre,8358139
L.1,Diciembre,8299873
L.10,Enero,4343227
L.10,Febrero,4981655
L.10,Marzo,5981336
L.10,Abril,5259886
L.10,Mayo,5745765
L.10,Junio,5617165
L.10,Julio,4762496
L.10,Agosto,3651416
L.10,Septiembre,6018323
L.10,Octubre,6573472
L.10,Noviembre,6519403
L.10,Diciembre,6171850
L.11,Enero,372563
L.11,Febrero,397477
L.11,Marzo,472817
L.11,Abril,421389
L.11,Mayo,458419
L.11,Junio,449026
L.11,Julio,386495
L.11,Agosto,312848
L.11,Septiembre,455804
L.11,Octubre,498321
L.11,Noviembre,500863
L.11,Diciembre,481934
L.12,Enero,2590014
L.12,Febrero,2872269
L.12,Marzo,3329759
L.12,Abril,2871039
L.12,Mayo,3150298
L.12,Junio,3038257
L.12,Julio,2487412
L.12,Agosto,2048848
L.12,Septiembre,3450830
L.12,Octubre,3730675
L.12,Noviembre,3779386
L.12,Diciembre,3389533
L.2,Enero,2536922
L.2,Febrero,2763313
L.2,Marzo,3098955
L.2,Abril,2919331
L.2,Mayo,3125383
L.2,Junio,2965731
L.2,Julio,2554360
L.2,Agosto,2027137
L.2,Septiembre,3084456
L.2,Octubre,3433565
L.2,Noviembre,3395804
L.2,Diciembre,3533353
L.3,Enero,4151154
L.3,Febrero,4569074
L.3,Marzo,5411999
L.3,Abril,4879831
L.3,Mayo,5215739
L.3,Junio,4975741
L.3,Julio,4279433
L.3,Agosto,3425013
L.3,Septiembre,5244615
L.3,Octubre,5820894
L.3,Noviembre,5816803
L.3,Diciembre,5623826
L.4,Enero,2256143
L.4,Febrero,2530963
L.4,Marzo,3026628
L.4,Abril,2598978
L.4,Mayo,2788898
L.4,Junio,2713625
L.4,Julio,2233546
L.4,Agosto,1676268
L.4,Septiembre,2849773
L.4,Octubre,3069736
L.4,Noviembre,3144948
L.4,Diciembre,3003761
L.5,Enero,4367873
L.5,Febrero,4768613
L.5,Marzo,5260571
L.5,Abril,5034190
L.5,Mayo,5606479
L.5,Junio,5241717
L.5,Julio,4532172
L.5,Agosto,3681960
L.5,Septiembre,5465006
L.5,Octubre,6040963
L.5,Noviembre,6038730
L.5,Diciembre,6056704
L.6,Enero,6614004
L.6,Febrero,7732477
L.6,Marzo,9119968
L.6,Abril,7680278
L.6,Mayo,8297665
L.6,Junio,7992066
L.6,Julio,6644169
L.6,Agosto,4253644
L.6,Septiembre,8246651
L.6,Octubre,9362689
L.6,Noviembre,9450800
L.6,Diciembre,8689204
L.7,Enero,2772246
L.7,Febrero,3217930
L.7,Marzo,3757393
L.7,Abril,3254418
L.7,Mayo,3546389
L.7,Junio,3431426
L.7,Julio,2712918
L.7,Agosto,2143220
L.7,Septiembre,3553825
L.7,Octubre,3838282
L.7,Noviembre,3816897
L.7,Diciembre,2892297
L.8,Enero,940356
L.8,Febrero,1013279
L.8,Marzo,1124427
L.8,Abril,985835
L.8,Mayo,1053150
L.8,Junio,1170587
L.8,Julio,1096158
L.8,Agosto,849596
L.8,Septiembre,1344147
L.8,Octubre,1458855
L.8,Noviembre,1437970
L.8,Diciembre,1308389
L.9,Enero,2911716
L.9,Febrero,3320591
L.9,Marzo,3972857
L.9,Abril,2880783
L.9,Mayo,3174590
L.9,Junio,3047308
L.9,Julio,2426536
L.9,Agosto,1915595
L.9,Septiembre,3268605
L.9,Octubre,3505620
L.9,Noviembre,3507184
L.9,Diciembre,3214973
Ramal,Enero,240517
Ramal,Febrero,257592
Ramal,Marzo,295148
Ramal,Abril,286493
Ramal,Mayo,300134
Ramal,Junio,284928
Ramal,Julio,253635
Ramal,Agosto,198355
Ramal,Septiembre,298365
Ramal,Octubre,341301
Ramal,Noviembre,340457
Ramal,Diciembre,378004
